trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
96,4,888.9259436130524,00:14:48,120411,1457,0.005345285404473543,0.007657170761376619,2.745111162519746,3,0.00014159856653649222,63,1461,249,126,170,238
97,4,1225.596992969513,00:20:25,117806,1268,0.013208691962063313,0.01345843356102705,4.49217956978312,3,0.007251555018174851,41,1328,244,111,192,223
98,4,664.6404867172241,00:11:04,118551,1332,0.00557927368208766,0.0075385719537734985,2.9135951350592224,3,0.00017874653131122397,85,1388,234,91,207,255
99,4,992.9206051826477,00:16:32,193329,1190,0.004600708372890949,0.007252689450979233,2.8995696133040205,4,0.0002692434630373277,49,1285,226,251,180,230,110
100,4,341.90832781791687,00:05:41,128207,1318,0.007136089727282524,0.009289971552789211,3.529306820860529,3,0.00010029079715110571,237,1353,251,117,199,242
101,4,666.2945356369019,00:11:06,115531,1249,0.0050389752723276615,0.007568908389657736,2.9984349779345534,2,0.0002515742608736896,78,1421,239,235,143
102,4,1525.154494524002,00:25:25,114614,1316,0.004973321221768856,0.007723571732640266,2.989156184791981,3,0.00021495916144189154,33,1473,256,128,158,214
103,4,1235.7659289836884,00:20:35,85358,1376,0.005147806368768215,0.008098719641566277,3.1006905260603004,3,0.00048110111049770544,38,1395,129,138,153,209
104,4,1566.3166065216064,00:26:06,173343,1434,0.0045317355543375015,0.007627497427165508,2.9238012194218608,3,0.0001507186591692727,32,1438,246,244,183,228
105,4,438.85661363601685,00:07:18,116973,1469,0.005267339292913675,0.00750470208004117,2.88286299878731,3,0.00032869363241538635,166,1469,252,113,169,248
106,4,1029.5889387130737,00:17:09,158274,1259,0.004695872310549021,0.007608511950820684,2.9700739867420927,3,0.0002894850723910242,46,1369,247,227,162,237
107,4,557.4990286827087,00:09:17,87108,571,0.006978610064834356,0.009274701587855816,3.491548150862505,3,0.00037587161863150286,38,620,95,158,220,121
108,4,1088.1817429065704,00:18:08,110806,1311,0.005121528171002865,0.008234898559749126,3.441007792008552,4,0.0006022805383532794,42,1332,159,132,187,199,53
109,4,940.454756975174,00:15:40,125852,1410,0.004800932016223669,0.007670239079743624,3.0684639760293373,3,0.00042238637311588445,55,1500,240,147,174,223
110,4,838.2877671718597,00:13:58,59917,1367,0.007530795410275459,0.009909648448228836,3.506611280271589,3,0.00016009512914616744,61,1436,25,219,139,148
111,4,406.18180990219116,00:06:46,116201,1339,0.00610153004527092,0.00839894637465477,3.146639327572204,2,0.00018646369995631168,152,1400,231,237,154
112,4,982.3797540664673,00:16:22,126139,1223,0.005482983309775591,0.007633842062205076,3.1452250395694,3,0.00019006523957058652,52,1442,240,146,165,247
113,4,948.2948634624481,00:15:48,112743,1451,0.005020830314606428,0.007504524663090706,2.9850565414775554,3,0.00023662681496606645,56,1475,256,125,171,185
114,4,446.0527398586273,00:07:26,184311,1418,0.004986155312508345,0.007606528699398041,3.2986638312178402,3,0.00031325489351885803,158,1423,236,248,200,251
