trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3
122,10,508.8352463245392,00:08:28,72504,1071,0.00573907233774662,0.0074595739133656025,3.4230375184662725,2,0.0005703062171755521,74,1109,224,124,166
123,10,598.1488716602325,00:09:58,81667,1084,0.0056481389328837395,0.00721788452938199,2.996926928523635,2,0.00041899120044493475,60,1090,246,133,169
124,10,479.4026246070862,00:07:59,81965,1040,0.005821500904858112,0.007319431286305189,2.933247133470129,2,0.0007149724224205161,81,1123,240,140,161
125,10,529.0176866054535,00:08:49,68195,1046,0.005908177234232426,0.0072366101667284966,2.9570197718698212,2,0.0006837224659014694,81,1239,239,106,162
126,10,509.728093624115,00:08:29,82968,1039,0.005878494121134281,0.007153810001909733,2.855007419645838,2,0.0007816268290851947,77,1127,232,142,176
127,10,572.4057035446167,00:09:32,82150,1248,0.005467502865940332,0.007200282532721758,2.88992195773609,2,0.0007920749065031986,77,1283,232,140,176
128,10,620.501143693924,00:10:20,80741,1227,0.006106538698077202,0.007396427448838949,3.053132411857176,2,0.0012461655611856444,72,1296,228,140,173
129,10,634.2652957439423,00:10:34,86915,1336,0.005628252401947975,0.007135918363928795,3.0280831736604084,2,0.0008655216481968251,77,1391,220,159,177
130,10,558.1204557418823,00:09:18,86323,1124,0.0057477448135614395,0.007191419135779142,2.9102361724376897,2,0.0007782952903576838,68,1131,234,145,187
131,10,506.6344749927521,00:08:26,87199,1182,0.0056304833851754665,0.007268961519002914,2.9861173814541146,2,0.0007839803342637191,85,1214,232,149,185
132,10,561.5054783821106,00:09:21,72689,1007,0.0060447934083640575,0.007426184136420488,2.9516118185223514,2,0.0007223922920418772,68,1124,227,125,159
133,10,522.0987420082092,00:08:42,80690,1099,0.00597086176276207,0.0076603759080171585,3.135772482508421,2,0.0008070398118306002,76,1155,234,138,168
134,10,545.0728130340576,00:09:05,36185,974,0.0075726984068751335,0.008615529164671898,3.1854832413077907,2,0.0007411405162804569,65,1067,68,114,181
135,10,477.10297203063965,00:07:57,85035,1091,0.005972578655928373,0.007767640054225922,3.011464323453062,2,0.001079762041649849,80,1104,248,142,163
136,10,633.4371247291565,00:10:33,88913,1281,0.0053386143408715725,0.006829680874943733,2.94384327610614,2,0.0005304175343791168,71,1339,237,153,177
137,10,463.44558596611023,00:07:43,67103,1136,0.0056828660890460014,0.007353679277002811,3.1788235560056495,2,0.0006711887952352121,90,1174,155,163,153
138,10,558.5929908752441,00:09:18,80807,1029,0.005830521695315838,0.007414639461785555,3.0521065539867633,2,0.0009000183985760077,65,1089,222,145,170
139,10,466.50245213508606,00:07:46,76227,1254,0.005505877546966076,0.00718024792149663,2.895775566309042,2,0.0005545875177176967,98,1269,230,133,157
140,10,488.18018913269043,00:08:08,74187,1125,0.005948931910097599,0.007477690000087023,3.1107793336635767,2,0.0005709395451093027,95,1279,226,133,149
141,10,481.80349946022034,00:08:01,71797,1189,0.005895864684134722,0.007387357298284769,2.9509339932751333,2,0.0006239990858587641,101,1321,231,121,157
142,10,606.8983449935913,00:10:06,84161,1307,0.005264732521027327,0.006978330668061972,2.8110026647822117,2,0.0005138975155542664,82,1439,242,135,188
143,10,648.0993690490723,00:10:48,82241,1406,0.0054439059458673,0.006959326099604368,2.9633640382107265,2,0.0005202549194886214,75,1441,243,130,188
144,10,589.7711565494537,00:09:49,71119,1086,0.006099549587816,0.007402130402624607,2.8689782561453336,2,0.0004651715749135377,69,1230,235,112,174
145,10,513.2953667640686,00:08:33,70429,1144,0.005770125892013311,0.007249313406646252,3.0925671958448944,2,0.0004638095981222938,85,1261,249,101,183
146,10,750.3726012706757,00:12:30,71451,1393,0.005841045640408993,0.00702009117230773,3.013339365175846,2,0.000812448152291207,61,1426,236,112,175
147,10,595.3351485729218,00:09:55,84503,1202,0.005427247378975153,0.00698503153398633,2.9422632759100917,2,0.0005657265908148989,68,1223,244,135,187
148,10,509.6559133529663,00:08:29,89591,1411,0.005140628665685654,0.0068807657808065414,2.834384174441934,2,0.0006676884031198304,110,1476,233,156,180
149,10,466.7744266986847,00:07:46,87160,1231,0.005948388483375311,0.007112294901162386,3.0561029924927268,2,0.0006557856180416208,111,1390,233,152,175
