trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
121,2,655.658483505249,00:10:55,93499,1418,0.004945110063999891,0.007350926287472248,2.8687256432314947,2,0.000527282224078362,83,1478,198,235,109
122,2,751.7783863544464,00:12:31,99823,1415,0.0050116064958274364,0.007192528340965509,2.9425136180424403,2,0.0004724453825671675,66,1433,206,241,116
123,2,785.5653803348541,00:13:05,92948,1359,0.004920033738017082,0.007426603231579065,2.7973071866187755,2,0.0005521203208960808,61,1401,212,222,104
124,2,830.4343154430389,00:13:50,91735,1380,0.005090289283543825,0.007632347289472818,2.947611791384781,2,0.0004262201937192217,56,1385,212,221,100
125,2,690.5790755748749,00:11:30,83713,1294,0.005373452790081501,0.007485327776521444,2.8704213983010876,2,0.000504801988312637,70,1399,191,214,104
126,2,727.365170955658,00:12:07,91567,1287,0.005214977543801069,0.0076357354409992695,2.8031058248978717,2,0.0005540627185365187,64,1353,204,229,100
127,2,645.6949446201324,00:10:45,94863,1342,0.005077038891613483,0.007566241547465324,3.062787529474981,2,0.000533741862375065,76,1362,222,227,91
128,2,578.4771575927734,00:09:38,92921,1293,0.005211498122662306,0.0077418796718120575,2.843723784676189,2,0.0003703124605872138,92,1415,209,231,96
129,2,775.1868958473206,00:12:55,83999,1442,0.005026725120842457,0.00743482168763876,2.83421483394421,2,0.0005604756107167516,65,1444,200,209,99
130,2,817.6486761569977,00:13:37,86255,1355,0.005423468537628651,0.007727238815277815,2.9789356249378303,2,0.0008525372961752533,62,1491,215,210,86
131,2,876.000949382782,00:14:36,92705,1401,0.0051641580648720264,0.007625932805240154,2.8886915020667487,2,0.0007541531117866518,55,1452,227,204,108
132,2,706.9627044200897,00:11:46,91509,1164,0.005544896703213453,0.007703146431595087,2.9740657239109387,2,0.0005905377591460243,67,1372,197,223,118
133,2,752.906494140625,00:12:32,74487,1421,0.005152405239641666,0.007627082522958517,2.874670175291266,2,0.000467238736128547,65,1425,204,173,100
134,2,797.371499300003,00:13:17,42997,1351,0.005969943478703499,0.008114727213978767,2.956172992350461,2,0.0005537210497616137,59,1395,201,73,94
135,2,635.1750259399414,00:10:35,91736,1319,0.005163352936506271,0.00754616828635335,2.822888955790894,2,0.00063155442964594,74,1341,189,246,101
136,2,512.0935444831848,00:08:32,100925,1204,0.005193307530134916,0.007574285380542278,2.9281861943078025,2,0.0006389916669479248,102,1335,209,245,111
137,2,641.28209233284,00:10:41,96823,1422,0.004949463531374931,0.007414437830448151,2.963908027920325,2,0.0003943947936662008,81,1441,187,247,123
138,2,739.8229885101318,00:12:19,94407,1482,0.004724969621747732,0.007218969985842705,2.8991884654244138,2,0.0004919146333634038,71,1500,222,230,85
139,2,624.4229371547699,00:10:24,83057,1271,0.00540997926145792,0.007765060290694237,2.939411146940799,2,0.0007434859840200772,77,1355,194,219,90
140,2,948.9521996974945,00:15:48,104141,1389,0.004966964479535818,0.007426878437399864,2.8571608924353833,2,0.0006045316009373521,52,1473,216,252,105
141,2,555.687751531601,00:09:15,85381,1288,0.005205095745623112,0.007538434583693743,2.8527821851822637,2,0.00045583710815598455,86,1297,181,236,98
142,2,763.8797330856323,00:12:43,90139,1374,0.005088926758617163,0.007478428538888693,2.8332051084793535,2,0.0005543641414158747,62,1406,190,241,99
143,2,835.8410804271698,00:13:55,100094,1440,0.004956445656716824,0.007530943490564823,2.982221529513813,2,0.0005763190498295048,61,1441,204,244,116
144,2,827.941960811615,00:13:47,86399,1360,0.005027639213949442,0.007542668841779232,2.913449506977326,2,0.0003322571641709656,56,1377,192,229,95
145,2,677.9068439006805,00:11:17,98599,1259,0.00798393040895462,0.00971917062997818,3.2463351571268984,2,0.0033613225904427276,72,1348,213,235,109
146,2,809.029634475708,00:13:29,99543,1397,0.004842058755457401,0.00726146949455142,2.8625091209810045,2,0.0005055230639848082,63,1467,207,250,102
147,2,946.4491806030273,00:15:46,74789,1351,0.005472416989505291,0.007727375254034996,2.855618193532764,2,0.0006536779822964408,49,1398,152,243,88
148,2,169.76681661605835,00:02:49,99723,308,0.008218537084758282,0.009420178830623627,3.3633927525328584,2,0.0004466431732525381,69,316,221,256,76
149,2,763.8724899291992,00:12:43,88145,1185,0.005623067729175091,0.007758724968880415,2.9230563223103583,2,0.0008104254268887763,59,1336,188,239,96
